word	lemma	pos	wordfreq
ও	ও	partcp	113796
করে	কর	verb	86128
না	না	partcp	76542
এবং	এবং	partcp	62729
থেকে	থেকে	dem	60485
এই	এই	unknwn	55465
হয়	হয়	verb	51285
করা	করা	noun	50614
তার	তার	dem	47239
এ	এ	unknwn	45057
হবে	হ	verb	40184
জন্য	জন্য	dem	38127
করতে	কর	verb	36127
তিনি	তিনি	dem	34153
হয়েছে	হয়েছে	verb	32770
হয়ে	হয়ে	verb	30570
এর	এর	dem	29648
একটি	একটি	adj	29577
নিয়ে	নিয়ে	dem	28354
আর	আর	partcp	27899
এক	এক	adj	27431
তাদের	তাদের	dem	27213
কিন্তু	কিন্তু	partcp	25898
আমি	আমি	dem	24740
কথা	কথা	noun	23706
করেন	কর	verb	23507
মধ্যে	মধ্যে	noun	22095
যায়	যায়	verb	21905
আহমদ	আহমদ	noun	21777
বা	বা	partcp	21665
আমার	আমার	dem	21631
বলেন	বল	verb	21460
দিয়ে	দিয়ে	dem	21401
আমাদের	আমাদের	dem	21283
সে	সে	dem	20658
কোন	কোন	adj	20440
তারা	তারা	dem	20087
সাথে	সাথে	dem	20060
আমরা	আমরা	dem	19865
করার	করা	noun	19381
বলল	বল	verb	19152
সময়	সময়	noun	19047
তা	তা	dem	18474
আছে	আছ	verb	18173
যে	যা	unknwn	17922
যে	যা	partcp	17699
ছিল	আছ	verb	17574
পারে	পার	verb	16948
পর	পর	noun	16831
হচ্ছে	হ	verb	16650
কিছু	কিছু	adj	16471
নয়	নয়	verb	16351
মনে	মন	noun	15563
কি	কি	dem	14991
মুসা	মুসা	noun	14818
হতে	হ	verb	14750
সেই	সেই	unknwn	14748
কাজ	কাজ	noun	14156
তবে	তবে	partcp	14026
সঙ্গে	সঙ্গে	dem	13829
বলে	বল	partcp	13747
দিকে	দিকে	noun	13482
অনেক	অনেক	adj	13444
করেছে	কর	verb	13144
নেই	নে	verb	12999
বিভিন্ন	বিভিন্ন	adj	12945
শুরু	শুরু	noun	12904
রয়েছে	রয়েছে	verb	12656
সব	সব	adj	12604
কাছে	কাছ	noun	12578
হিসেবে	হিসেব	dem	12222
বাংলাদেশ	বাংলাদেশ	noun	12154
এখন	এখন	adv	11899
থাকে	থাক	verb	11808
একটা	এক	adj	11607
দেশের	দেশ	noun	10896
যদি	যদি	partcp	10835
নতুন	নতুন	adj	10820
হলো	হলো	verb	10800
তাঁর	তাঁর	dem	10686
তাকে	তাকে	dem	10664
যা	যা	dem	10608
করেছেন	কর	verb	10561
আপনার	আপনার	dem	10386
বাংলাদেশের	বাংলাদেশ	noun	10134
তো	তো	partcp	10131
মাধ্যমে	মাধ্যম	dem	10092
পর্যন্ত	পর্যন্ত	dem	10021
গেছে	যা	verb	9949
মানুষের	মানুষ	noun	9830
বছর	বছর	noun	9822
দেখা	দেখা	noun	9766
তাই	তাই	partcp	9611
টি	টি	noun	9549
টাকা	টাকা	noun	9537
মানুষ	মানুষ	noun	9444
আগে	আগে	noun	9442
আজ	আজ	adv	9434
