word	lemma	pos	wordfreq	lemfreq
the	the	a	50033323	50033612
ze	the	a	287	50033612
is	be	v	10093608	32394756
was	be	v	6848519	32394756
's	be	v	6303682	32394756
be	be	v	5046995	32394756
are	be	v	4983145	32394756
were	be	v	2378665	32394756
're	be	v	1957882	32394756
been	be	v	1874157	32394756
'm	be	v	1716283	32394756
being	be	v	711507	32394756
am	be	v	448411	32394756
s	be	v	9826	32394756
and	and	c	24778098	24778098
a	a	a	21166065	24225478
an	a	a	3059411	24225478
of	of	i	23159162	23159162
to	to	t	16257508	16770155
na	to	t	431893	16770155
ta	to	t	80754	16770155
in	in	i	15670692	15670692
i	I	p	14217601	14217601
you	you	p	12053228	12079413
ya	you	p	25316	12079413
	you	p	440	12079413
youse	you	p	440	12079413
yous	you	p	429	12079413
it	it	p	11042044	11042044
	it	p	342	11042044
have	have	v	5023456	10514314
had	have	v	2723573	10514314
has	have	v	2443889	10514314
've	have	v	1015706	10514314
'd	have	v	784592	10514314
having	have	v	318547	10514314
hath	have	v	4804	10514314
haveing	have	v	41	10514314
to	to	i	9232572	9232572
that	that	c	8319510	8319512
for	for	i	8194970	8194970
do	do	v	4501047	8186412
did	do	v	1889734	8186412
does	do	v	964997	8186412
doing	do	v	461455	8186412
done	do	v	356317	8186412
doin	do	v	9657	8186412
doth	do	v	1655	8186412
don	do	v	1548	8186412
he	he	p	6467470	6467470
	he	p	195	6467470
with	with	i	6442861	6442861
on	on	i	6080156	6080156
this	this	d	5541355	5541355
n't	n't	x	5285354	5285354
we	we	p	5180711	5180711
that	that	d	5002961	5002963
not	not	x	4655980	4655980
but	but	c	4523086	4523086
they	they	p	4503650	4503650
said	say	v	2039196	4096416
say	say	v	955726	4096416
says	say	v	837850	4096416
saying	say	v	263644	4096416
at	at	i	4024075	4024079
what	what	d	3807502	3807502
his	his	a	3718978	3718978
from	from	i	3711425	3711425
go	go	v	1235814	3546732
going	go	v	1218389	3546732
went	go	v	376951	3546732
gon	go	v	354396	3546732
gone	go	v	181192	3546732
goes	go	v	169236	3546732
goin	go	v	10678	3546732
gos	go	v	76	3546732
or	or	c	3420339	3420339
by	by	i	3372222	3372222
get	get	v	1743855	3347615
got	get	v	1059927	3347615
getting	get	v	327522	3347615
gets	get	v	157871	3347615
gotten	get	v	57871	3347615
gettin	get	v	569	3347615
she	she	p	3188077	3188078
my	my	a	3106939	3106939
can	can	v	2515641	3091046
ca	can	v	575405	3091046
as	as	c	2946119	2946119
know	know	v	2110629	2761628
knew	know	v	278027	2761628
known	know	v	174757	2761628
knows	know	v	138180	2761628
knowing	know	v	59778	2761628
knowed	know	v	257	2761628
if	if	c	2709806	2709809
me	me	p	2638743	2638743
your	your	a	2577505	2577505
all	all	d	2503556	2503556
who	who	p	2493429	2493429
	who	p	126	2493429
about	about	i	2427703	2427703
their	their	a	2417058	2417058
will	will	v	2154429	2372215
'll	will	v	992384	2372215
wo	will	v	217786	2372215
so	so	r	2369749	2369749
would	would	v	2349400	2349400
make	make	v	1023483	2290830
made	make	v	706697	2290830
making	make	v	297469	2290830
makes	make	v	262880	2290830
