word	word_ar	lemma	lemma_ar	pos	stem	gloss	root	root_ar	pattern	pattern_ar	freq_word	freq_lem	freq_root	freq_ptrn
AlEalama	العَلَمَ	Ealam_1	عَلَمـ1	noun	Ealam	flag;banner;badge	E.l.m	ع.ل.م	faEal	فَعَل	2420	16526	1995851	6231039
kaniysi	كَنِيسِ	kaniys_1	كَنِيسـ1	noun	kaniys	synagogue;temple	k.n.s	ك.ن.س	faEiyl	فَعِيل	332	2973	118949	6533870
AlD~if~apu	الضِّفَّةُ	Dif~ap_2	ضِفَّةـ2	noun_prop	Dif~	(West)_Bank	D.f.f	ض.ف.ف	fiE~ap	فِعَّة	22591	180646	191983	1100025
Algarobiy~apu	الغَرْبِيَّةُ	garobiy~_1	غَرْبِيّـ1	adj	garobiy~	west;western;westerner	g.r.b	غ.ر.ب	faEoliy~	فَعْلِيّ	28720	351023	907188	2038446
salAmN	سَلامٌ	salAm_1	سَلامـ1	noun	salAm	peace	s.l.m	س.ل.م	faEAl	فَعال	13414	664937	2085587	3203401
Al$~uroTapi	الشُّرْطَةِ	$uroTap_1	شُرْطَةـ1	noun	$uroT	police	$.r.T	ش.ر.ط	fuEolap	فُعْلَة	143915	342615	486327	2077406
biHirAsapi	بِحِراسَةِ	HirAsap_1	حِراسَةـ1	noun	HirAs	guard;escort;protection	H.r.s	ح.ر.س	fiEAlap	فِعالَة	774	16022	141158	1420370
Alkaniysi	الكَنِيسِ	kaniys_1	كَنِيسـ1	noun	kaniys	synagogue;temple	k.n.s	ك.ن.س	faEiyl	فَعِيل	518	2973	118949	6533870
Almadiynapi	المَدِينَةِ	madiynap_1	مَدِينَةـ1	noun	madiyn	city	m.d.n	م.د.ن	faEiylap	فَعِيلَة	161698	525831	683384	2557723
tasoliymuhA	تَسْلِيمُها	tasoliym_1	تَسْلِيمـ1	noun	tasoliym	handing_over;delivery;surrender	s.l.m	س.ل.م	tafoEiyl	تَفْعِيل	1751	85314	2085587	6264512
AlEalami	العَلَمِ	Ealam_1	عَلَمـ1	noun	Ealam	flag;banner;badge	E.l.m	ع.ل.م	faEal	فَعَل	4450	16526	1995851	6231039
DAbiTN	ضابِطٌ	DAbiT_1	ضابِطـ1	noun	DAbiT	controller	D.b.T	ض.ب.ط	fAEil	فاعِل	12506	44610	112538	6244614
