word	stem	TP	wordfreq	stemfreq
maglantad	lantad	0.007516973811833172	62	8248
paghaluin	halo	0.026911442578491707	516	19174
ihahalo	halo	0.0050589339730885575	97	19174
nahahaling	hali	0.0034191110311319055	19	5557
saboy	saboy	0.05092592592592592	33	648
guguluhin	gulo	0.009431902537007118	216	22901
punlang	punla	0.025157232704402517	68	2703
pansilaw	nsilaw	0.6666666666666666	2	3
barilang	barila	0.5909090909090909	13	22
paglapastangan	lapasta	0.8042168674698795	801	996
dinalupihan	dalupi	0.9771689497716894	214	219
asuwang	asuwa	0.9607843137254902	49	51
paghiyaw	hiyaw	0.028234564070741545	91	3223
mambibili	bili	3.2629621170098216e-05	2	61294
pambibigla	bigla	1.823519757836576e-05	1	54839
paglilihing	lihi	0.0006273525721455458	1	1594
magpatala	tala	0.019554007901962097	584	29866
tapayan	tapay	0.015364825269777746	215	13993
sumalok	salok	0.40941176470588236	174	425
tikman	tikam	0.2749326145552561	1122	4081
nanggilalas	gilalas	0.8421052631578947	288	342
karpentero	dpentero	0.848314606741573	151	178
krizzy	krizzy	1.0	26	26
magkakausap	kausap	0.00673451062556121	90	13364
nagproduce	produce	0.10939167556029883	205	1874
pagkakalalang	lala	0.00018050541516245486	7	38780
natutuklas	tuklas	0.0007540767273070035	16	21218
eskosesang	eskosesa	0.25	2	8
manaloto	naloto	1.0	305	305
kulasimang	kulasima	1.0	1	1
pangtalento	talento	0.0007283321194464676	4	5492
nakisulat	kisulat	0.5	3	6
pangtalamitang	talamita	1.0	1	1
pinatibayan	tibay	0.0010485371215964822	31	29565
nagtatak	tak	0.007129761662253004	70	9818
isinagisag	sinagisag	1.0	6	6
paghakbang	hakba	0.0090521675238795	308	34025
kumpilasyong	kumpilasyo	1.0	2	2
inaming	ami	0.0024854206125214293	332	133579
tagapagtanggap	pagtanggap	0.4230769230769231	11	26
ipinabago	pinabago	1.0	12	12
natatakang	taka	0.00021002520302436292	3	14284
prisinta	prisinta	0.02176696542893726	17	781
tinugunan	tugon	0.005405405405405406	257	47545
tinatampok	tampok	0.0018641066268990586	40	21458
nagsasaplaka	saplaka	0.05263157894736842	1	19
kasibulan	sibol	0.014857416726575605	62	4173
magsimulan	gsimol	0.5	1	2
pangkatapusang	katapusa	1.0	16	16
natalaga	talaga	0.00041448420558416597	113	272628
aalahas	aalahas	0.0070921985815602835	1	141
maihayag	tihayag	0.5594470046082949	607	1085
maritoni	ditoni	0.9769230769230769	127	130
hintuang	hintua	0.375	3	8
kumukonekta	kukonekta	0.8484848484848485	28	33
maugong	tugo	0.5733157199471598	434	757
busilak	busilak	0.9287974683544303	587	632
panghabambuhay	habambo	0.1078811369509044	334	3096
nagwawatak	watak	0.009836065573770493	3	305
nagsiklab	siklab	0.0217441591487393	94	4323
napatubog	patubog	1.0	3	3
pagpupuna	puna	0.0034307100530200645	33	9619
nagpapaamo	tamo	0.0006722024515618822	17	25290
nakapangasawa	kapangasawa	1.0	125	125
aagawang	aagawa	0.0071301247771836	12	1683
mapalakbay	palakb	0.3333333333333333	2	6
dumarayong	darayo	0.036036036036036036	28	777
masisilayan	silay	0.01225997872697755	438	35726
nagkatuluyan	katuloy	0.4160839160839161	357	858
kayod	kayod	0.34043778801843316	591	1736
aakitin	aakit	0.07818532818532818	81	1036
mabibisto	bisto	0.04578488372093023	63	1376
masasandalan	sandal	0.05391621129326048	148	2745
mababaldado	baldado	0.0027624309392265192	1	362
magpapaka	paka	0.0026627426249036506	38	14271
lalayas	layas	0.01785465197377598	128	7169
nangangalawa	angalawa	0.11475409836065574	7	61
napangasawang	pangasawa	0.015178571428571428	17	1120
umigib	umigib	1.0	154	154
kaparasuhang	parasuha	1.0	1	1
ibinubunga	binubunga	0.9410112359550562	335	356
naaabusong	taabuso	0.0611353711790393	14	229
mapantayang	taya	0.001309233734589228	36	27497
napakapambihirang	pakapambihira	0.6086956521739131	14	23
pagpako	pako	0.011060507482108002	102	9222
toym	toym	1.0	52	52
nakakahuli	huli	0.00048569850764143476	73	150299
nakakasalok	salok	0.004705882352941176	2	425
nakakalagos	lagos	0.000726920281075842	3	4127
rogel	dogel	0.9647887323943662	137	142
adlib	adlib	0.8944954128440367	195	218
makipagsabayan	pagsabay	0.9933244325767691	744	749
umuuwing	umuuwi	0.06095143706640238	123	2018
luhaan	luha	0.03911539040168497	520	13294
lumalagare	lagare	0.031073446327683617	11	354
maanyayahan	tanyaya	0.02193548387096774	34	1550
piyestahan	piyesta	0.02106430155210643	38	1804
jomar	jomar	0.9977924944812362	904	906
pagpupunlang	punla	0.0003699593044765076	1	2703
pagsasawata	sawata	0.003909304143862392	5	1279
nakipagsanduguan	kipagsandugo	0.5	3	6
ikang	ika	0.004356520497071847	61	14002
nakikikain	kika	0.30128205128205127	47	156
sinasalanta	salanta	0.030596436870642913	158	5164
naaapektuhang	taapektuha	0.1	17	170
binabansang	bansa	3.330524590928317e-06	1	300253
tinarget	target	0.01991150442477876	315	15820
katorse	torse	0.9863481228668942	289	293
tumilaok	tilaok	0.53125	340	640
maghangas	hangas	0.08333333333333333	1	12
nanghahabol	habol	0.0023187821352958966	46	19838
tumalab	talab	0.10592069527430745	195	1841
naparusahang	parusaha	0.021406727828746176	7	327
taralets	taralets	1.0	15	15
kinamulatang	mulata	0.20430107526881722	19	93
gantimpalapinangalanan	ntimpalapinangalan	1.0	1	1
valeen	valeen	1.0	127	127
nagmahal	mahal	0.017224498676433258	1900	110308
binubup	bop	0.02459016393442623	3	122
produksyon	produksyon	0.9971798046498831	14497	14538
napagkakamali	kakamali	0.03278688524590164	2	61
pinakamahigpit	kamahigpit	0.9484126984126984	239	252
isasaisip	saisip	0.040880503144654086	39	954
pinaganda	anda	0.0020279760369191963	283	139548
magkarga	karga	0.039911918524635284	145	3633
bibihisan	bihis	0.007845934379457917	44	5608
sasayaw	sayaw	0.021330489268097587	320	15002
gagamitan	gamit	0.0007907964294999566	292	369248
ikamamangha	pangha	0.001441515650741351	7	4856
ipagmamalaki	palaki	0.008438818565400843	378	44793
ipapaliwanag	paliwanag	0.13440594059405941	1086	8080
tagapagpasimula	pagpasimula	0.17142857142857143	6	35
bumabangga	bangga	0.009751672525229618	86	8819
ibababaw	bababaw	0.017985611510791366	5	278
patronang	trona	0.0037105751391465678	2	539
naisasalarawan	tisasalaraw	0.22058823529411764	15	68
pambuod	buod	0.0009681881051175657	7	7230
kinakapitan	kapit	0.030383874314510152	205	6747
hinaliling	halili	0.0001515610791148833	1	6598
abrebiasyon	abrebiasyon	1.0	1	1
nunuang	nua	0.006622516556291391	1	151
hinekolohiya	hekolohiya	1.0	95	95
nagpaanak	tanak	0.11224489795918367	44	392
pinakakonserbatibong	kakonserbatibo	0.06896551724137931	2	29
nagkakabanggaan	bangga	0.0028347885247760516	25	8819
saluhin	salo	0.05499379102359411	310	5637
sinasarsahan	sarsa	0.003389830508474576	2	590
panlutuing	lutui	0.0017825311942959	1	561
manggaya	gaya	0.0012327877513731275	112	90851
intuisyonistikong	tuisyonistiko	1.0	2	2
pampantikan	tikan	0.0018679950186799503	3	1606
nagdi	nagdi	1.0	13	13
pinagasamang	asama	0.017241379310344827	1	58
