lex,lex.ar,diac,diac.ar,gloss,pos,stem,stem.ar,root,root.ar,pattern,pattern.ar,freq,freqL,freqR
Ealam_1,عَلَم_1,AlEalama,العَلَمَ,flag;banner;badge,noun,Ealam,عَلَم,E.l.m,ع.ل.م,1a2a3,1َ2َ3,2420,29682,1995851
kaniys_1,كَنِيس_1,kaniysi,كَنِيسِ,synagogue;temple,noun,kaniys,كَنِيس,k.n.s,ك.ن.س,1a2iy3,1َ2ِي3,332,3896,118949
Dif~ap_2,ضِفَّة_2,AlD~if~apu,الضِّفَّةُ,(West)_Bank,noun_prop,Dif~,ضِفّ,D.f.f,ض.ف.ف,1i2~ap,1ِ2َّة,22591,180646,191983
garobiy~_1,غَرْبِيّ_1,Algarobiy~apu,الغَرْبِيَّةُ,west;western;westerner,adj,garobiy~,غَرْبِيّ,g.r.b,غ.ر.ب,1a2o3iy~,1َ2ْ3ِيّ,28720,359518,907188
salAm_1,سَلام_1,salAmN,سَلامٌ,peace,noun,salAm,سَلام,s.l.m,س.ل.م,1a2A3,1َ2ا3,13414,664937,2085587
$uroTap_1,شُرْطَة_1,Al$~uroTapi,الشُّرْطَةِ,police,noun,$uroT,شُرْط,$.r.T,ش.ر.ط,1u2o3ap,1ُ2ْ3َة,143915,342615,486327
HirAsap_1,حِراسَة_1,biHirAsapi,بِحِراسَةِ,guard;escort;protection,noun,HirAs,حِراس,H.r.s,ح.ر.س,1i2A3ap,1ِ2ا3َة,774,16022,141158
kaniys_1,كَنِيس_1,Alkaniysi,الكَنِيسِ,synagogue;temple,noun,kaniys,كَنِيس,k.n.s,ك.ن.س,1a2iy3,1َ2ِي3,518,3896,118949
madiynap_1,مَدِينَة_1,Almadiynapi,المَدِينَةِ,city,noun,madiyn,مَدِين,m.d.n,م.د.ن,1a2iy3ap,1َ2ِي3َة,161698,635899,683384
tasoliym_1,تَسْلِيم_1,tasoliymuhA,تَسْلِيمُها,handing_over;delivery;surrender,noun,tasoliym,تَسْلِيم,s.l.m,س.ل.م,ta1o2iy3,تَ1ْ2ِي3,1751,85314,2085587
Ealam_1,عَلَم_1,AlEalami,العَلَمِ,flag;banner;badge,noun,Ealam,عَلَم,E.l.m,ع.ل.م,1a2a3,1َ2َ3,4450,29682,1995851
DAbiT_1,ضابِط_1,DAbiTN,ضابِطٌ,controller,noun,DAbiT,ضابِط,D.b.T,ض.ب.ط,1A2i3,1ا2ِ3,12506,54483,112538
muqad~as_1,مُقَدَّس_1,muqad~asN,مُقَدَّسٌ,holy;sacred,adj,muqad~as,مُقَدَّس,q.d.s,ق.د.س,mu1a2~a3,مُ1َ2َّ3,1595,50280,399713
{iqotarab_1,ٱِقْتَرَب_1,Aiqotaraba,اِقْتَرَبَ,get_close_to;approach,verb,{iqotarab,ٱِقْتَرَب,q.r.b,ق.ر.ب,{i1ota2a3,ٱِ1ْتَ2َ3,4263,25783,400771
min_1,مِن_1,min,مِن,from,prep,min,مِن,m.n,م.ن,1i2,1ِ2,12875546,14612853,14305756
HirAsap_1,حِراسَة_1,HirAsatahu,حِراسَتَهُ,guard;escort;protection,noun,HirAs,حِراس,H.r.s,ح.ر.س,1i2A3ap,1ِ2ا3َة,179,16022,141158
manoE_1,مَنْع_1,manoEahum,مَنْعَهُم,prevention;interdiction,noun,manoE,مَنْع,m.n.E,م.ن.ع,1a2o3,1َ2ْ3,1577,134709,303173
duxuwl_1,دُخُول_1,Ald~uxuwli,الدُّخُولِ,entrance;penetration,noun,duxuwl,دُخُول,d.x.l,د.خ.ل,1u2uw3,1ُ2ُو3,28529,157705,743525
tamoziyq_1,تَمْزِيق_1,bitamoziyqi,بِتَمْزِيقِ,tearing;shredding,noun,tamoziyq,تَمْزِيق,m.z.q,م.ز.ق,ta1o2iy3,تَ1ْ2ِي3,244,3252,15549
maz~aq_1,مَزَّق_1,numaz~iqu,نُمَزِّقُ,tear_apart;rip_apart;shred,verb,maz~iq,مَزِّق,m.z.q,م.ز.ق,1a2~a3,1َ2َّ3,19,6404,15549
{iHotirAm_1,ٱِحْتِرام_1,AiHotirAmAF,اِحْتِراماً,respect;honoring,noun,{iHotirAm,ٱِحْتِرام,H.r.m,ح.ر.م,{i1oti2A3,ٱِ1ْتِ2ا3,3586,93319,192311
Had~Ad_1,حَدّاد_1,Had~Ad,حَدّاد,Haddad,noun_prop,Had~Ad,حَدّاد,H.d.d,ح.د.د,1a2~A3,1َ2ّا3,22722,23238,616515
taTobiyq_1,تَطْبِيق_1,taTobiyqi,تَطْبِيقِ,application,noun,taTobiyq,تَطْبِيق,T.b.q,ط.ب.ق,ta1o2iy3,تَ1ْ2ِي3,60581,158760,294576
qAhirap_1,قاهِرَة_1,AlqAhirapi,القاهِرَةِ,Cairo,noun_prop,qAhir,قاهِر,q.h.r,ق.ه.ر,1A2i3ap,1ا2ِ3َة,161400,243596,260372
tanosiyq_1,تَنْسِيق_1,biAlt~anosiyqi,بِالتَّنْسِيقِ,coordination;steering;systematic_arrangement,noun,tanosiyq,تَنْسِيق,n.s.q,ن.س.ق,ta1o2iy3,تَ1ْ2ِي3,10924,91335,135060
EAraD_1,عارَض_1,yuEAriDuwna,يُعارِضُونَ,oppose;resist,verb,EAriD,عارِض,E.r.D,ع.ر.ض,1A2a3,1ا2َ3,4698,55564,910117
$id~ap_1,شِدَّة_1,bi$id~apK,بِشِدَّةٍ,intensity;forcefulness,noun,$id~,شِدّ,$.d.d,ش.د.د,1i2~ap,1ِ2َّة,38545,49239,374397
taHota_1,تَحْتَ_1,taHota,تَحْتَ,under,noun,taHot,تَحْت,t.H.t,ت.ح.ت,1a2o3,1َ2ْ3,224054,240412,279247
suloTap_1,سُلْطَة_1,suloTapi,سُلْطَةِ,power;authority;rule,noun,suloT,سُلْط,s.l.T,س.ل.ط,1u2o3ap,1ُ2ْ3َة,17493,649957,435856
mirAr_1,مِرار_1,mirArAF,مِراراً,times;occasions,noun,mirAr,مِرار,m.r.r,م.ر.ر,1i2A3,1ِ2ا3,23240,23581,696367
gaDib_1,غَضِب_1,wagaDibihim,وَغَضِبِهِم,irate;furious,adj,gaDib,غَضِب,g.D.b,غ.ض.ب,1a2i3,1َ2ِ3,32,451,58051
naZ~am_1,نَظَّم_1,wanaZ~amuwA,وَنَظَّمُوا,arrange;organize;regulate,verb,naZ~am,نَظَّم,n.Z.m,ن.ظ.م,1a2~a3,1َ2َّ3,352,111390,1190127
taZAhurap_1,تَظاهُرَة_1,taZAhurAtN,تَظاهُراتٌ,rally;demonstration,noun,taZAhur,تَظاهُر,Z.h.r,ظ.ه.ر,ta1A2u3ap,تَ1ا2ُ3َة,3979,75618,622412
Eid~ap_1,عِدَّة_1,Eid~apN,عِدَّةٌ,several;numerous;many,adj,Eid~,عِدّ,E.d.d,ع.د.د,1i2~ap,1ِ2َّة,21438,219542,1493498
$uroTap_1,شُرْطَة_1,Al$~uroTapa,الشُّرْطَةَ,police,noun,$uroT,شُرْط,$.r.T,ش.ر.ط,1u2o3ap,1ُ2ْ3َة,23904,342615,486327
mar~ap_1,مَرَّة_1,mar~apK,مَرَّةٍ,occasion;time;moment,noun,mar~,مَرّ,m.r.r,م.ر.ر,1a2~ap,1َ2َّة,50945,406396,696367
taforiyq_1,تَفْرِيق_1,bitaforiyqihim,بِتَفْرِيقِهِم,separation;division,noun,taforiyq,تَفْرِيق,f.r.q,ف.ر.ق,ta1o2iy3,تَ1ْ2ِي3,84,10124,245486
mu$otarik_1,مُشْتَرِك_1,Almu$otarikiyna,المُشْتَرِكِينَ,participant;subscriber,noun,mu$otarik,مُشْتَرِك,$.r.k,ش.ر.ك,mu1ota2i3,مُ1ْتَ2ِ3,18056,33024,1084812
SanoEA'_1,صَنْعاء_1,SanoEA'u,صَنْعاءُ,Sana;Sanaa,noun_prop,SanoEA',صَنْعاء,S.n.E,ص.ن.ع,1a2o3A',1َ2ْ3اء,2218,39476,432794
jAmiEap_1,جامِعَة_1,AljAmiEapu,الجامِعَةُ,university,noun,jAmiE,جامِع,j.m.E,ج.م.ع,1A2i3ap,1ا2ِ3َة,17278,344526,2198458
>usoTuwrap_1,أُسْطُورَة_1,>usoTuwrapi,أُسْطُورَةِ,myth;legend;tale,noun,>usoTuwr,أُسْطُور,s.T.r,س.ط.ر,>u1o2uw3ap,أُ1ْ2ُو3َة,4090,18774,208620
malikap_1,مَلِكَة_1,Almalikapi,المَلِكَةِ,queen,noun,malik,مَلِك,m.l.k,م.ل.ك,1a2i3ap,1َ2ِ3َة,5933,27187,461824
EAlaj_1,عالَج_1,tuEAliju,تُعالِجُ,treat;deal_with;process,verb,EAlij,عالِج,E.l.j,ع.ل.ج,1A2a3,1ا2َ3,4328,33618,194499
Eaqod_1,عَقْد_1,Eaqodi,عَقْدِ,holding;concluding;convening,noun,Eaqod,عَقْد,E.q.d,ع.ق.د,1a2o3,1َ2ْ3,71650,214217,702208
{ijotamaE_1,ٱِجْتَمَع_1,AijotamaEa,اِجْتَمَعَ,meet;confer,verb,{ijotamaE,ٱِجْتَمَع,j.m.E,ج.م.ع,{i1ota2a3,ٱِ1ْتَ2َ3,22524,89812,2198458
taHodiyd_1,تَحْدِيد_1,taHodiydi,تَحْدِيدِ,delimitation;specification;definition,noun,taHodiyd,تَحْدِيد,H.d.d,ح.د.د,ta1o2iy3,تَ1ْ2ِي3,46492,176331,616515
nahoj_1,نَهْج_1,nahojK,نَهْجٍ,pursuing;following,noun,nahoj,نَهْج,n.h.j,ن.ه.ج,1a2o3,1َ2ْ3,4085,34297,52919
nizAE_1,نِزاع_1,liln~izAEi,لِلنِّزاعِ,conflict;struggle,noun,nizAE,نِزاع,n.z.E,ن.ز.ع,1i2A3,1ِ2ا3,8843,111235,240349
min_1,مِن_1,wamin,وَمِن,from,prep,min,مِن,m.n,م.ن,1i2,1ِ2,521040,14612853,14305756
maqar~_1,مَقَرّ_1,bimaqar~i,بِمَقَرِّ,center;headquarters;residence,noun,maqar~,مَقَرّ,q.r.r,ق.ر.ر,ma1a2~,مَ1َ2ّ,3100,176805,1744500
baEovap_1,بَعْثَة_1,AlbiEovapi,البِعْثَةِ,delegation;mission,noun,biEov,بِعْث,b.E.v,ب.ع.ث,1a2o3ap,1َ2ْ3َة,11302,64187,143427
SaHAfiy~_1,صَحافِيّ_1,SaHAfiy~K,صَحافِيٍّ,journalistic;press,adj,SaHAfiy~,صَحافِيّ,S.H.f,ص.ح.ف,1a2A3iy~,1َ2ا3ِيّ,74157,159022,766835
<iEolAn_1,إِعْلان_1,<iEolAnK,إِعْلانٍ,declaration;statement;announcement,noun,<iEolAn,إِعْلان,E.l.n,ع.ل.ن,<i1o2A3,إِ1ْ2ا3,3744,238420,1127300
naS~_1,نَصّ_1,naS~a,نَصَّ,text,noun,naS~,نَصّ,n.S.S,ن.ص.ص,1a2~,1َ2ّ,6119,133698,121554
<iEolAn_1,إِعْلان_1,Al<iEolAni,الإِعْلانِ,declaration;statement;announcement,noun,<iEolAn,إِعْلان,E.l.n,ع.ل.ن,<i1o2A3,إِ1ْ2ا3,28352,238420,1127300
EariyD_1,عَرِيض_1,AlEariyDapi,العَرِيضَةِ,wide;broad,adj,EariyD,عَرِيض,E.r.D,ع.ر.ض,1a2iy3,1َ2ِي3,6189,23411,910117
{irotakaz_1,ٱِرْتَكَز_1,tarotakiza,تَرْتَكِزَ,be_focused;be_implanted,verb,rotakiz,رْتَكِز,r.k.z,ر.ك.ز,{i1ota2a3,ٱِ1ْتَ2َ3,5890,15565,716978
silomiy~_1,سِلْمِيّ_1,Als~ilomiy~api,السِّلْمِيَّةِ,peaceful;pacifist,adj,silomiy~,سِلْمِيّ,s.l.m,س.ل.م,1i2o3iy~,1ِ2ْ3ِيّ,35870,86317,2085587
taDam~an_1,تَضَمَّن_1,yataDam~ana,يَتَضَمَّنَ,guarantee;comprise;include,verb,taDam~an,تَضَمَّن,D.m.n,ض.م.ن,ta1a2~a3~,تَ1َ2َّ3ّ,2029,131715,403163
taqosiym_1,تَقْسِيم_1,taqosiyma,تَقْسِيمَ,partition;division;distribution,noun,taqosiym,تَقْسِيم,q.s.m,ق.س.م,ta1o2iy3,تَ1ْ2ِي3,2854,40681,168879
xuT~ap_1,خُطَّة_1,xuT~apa,خُطَّةَ,plan;project,noun,xuT~,خُطّ,x.T.T,خ.ط.ط,1u2~ap,1ُ2َّة,14313,225270,266054
manoH_1,مَنْح_1,manoHi,مَنْحِ,granting;bestowal;awarding,noun,manoH,مَنْح,m.n.H,م.ن.ح,1a2o3,1َ2ْ3,21020,62908,82276
musolim_1,مُسْلِم_1,Almusolimiyna,المُسْلِمِينَ,Muslim,noun,musolim,مُسْلِم,s.l.m,س.ل.م,mu1o2i3,مُ1ْ2ِ3,50206,200328,2085587
%_0,%_0,%,%,%,punc,,,PUNC,پUٌC,PUNC,پUٌC,163522,163522,1319342
manoH_1,مَنْح_1,wamanoHi,وَمَنْحِ,granting;bestowal;awarding,noun,manoH,مَنْح,m.n.H,م.ن.ح,1a2o3,1َ2ْ3,2508,62908,82276
sayoTar_1,سَيْطَر_1,yusayoTiruwna,يُسَيْطِرُونَ,dominate;seize;command,verb,sayoTir,سَيْطِر,s.T.r,س.ط.ر,1ayo2a3,1َيْ2َ3,3919,63344,208620
musolim_1,مُسْلِم_1,Almusolimuwna,المُسْلِمُونَ,Muslim,noun,musolim,مُسْلِم,s.l.m,س.ل.م,mu1o2i3,مُ1ْ2ِ3,9276,200328,2085587
musolim_1,مُسْلِم_1,musolimapF,مُسْلِمَةً,Muslim,adj,musolim,مُسْلِم,s.l.m,س.ل.م,mu1o2i3,مُ1ْ2ِ3,1346,200328,2085587
sayoTar_1,سَيْطَر_1,tusayoTiru,تُسَيْطِرُ,dominate;seize;command,verb,sayoTir,سَيْطِر,s.T.r,س.ط.ر,1ayo2a3,1َيْ2َ3,17891,63344,208620
>aEorab_1,أَعْرَب_1,wa>aEoraba,وَأَعْرَبَ,express;manifest;indicate,verb,>aEorab,أَعْرَب,E.r.b,ع.ر.ب,>a1o2a3,أَ1ْ2َ3,36150,149809,518378
Hi*or_1,حِذْر_1,AlHi*ori,الحِذْرِ,caution,noun,Hi*or,حِذْر,H.*.r,ح.ذ.ر,1i2o3,1ِ2ْ3,7766,23795,162248
>aEolan_1,أَعْلَن_1,wa>aEolana,وَأَعْلَنَ,announce;declare,verb,>aEolan,أَعْلَن,E.l.n,ع.ل.ن,>a1o2a3~,أَ1ْ2َ3ّ,81536,838376,1127300
naZiyr_1,نَظِير_1,naZiyruhu,نَظِيرُهُ,counterpart;opposite_number;colleague;peer,noun,naZiyr,نَظِير,n.Z.r,ن.ظ.ر,1a2iy3,1َ2ِي3,1836,84320,409659
taHoqiyq_1,تَحْقِيق_1,taHoqiyqi,تَحْقِيقِ,achievement;realization,noun,taHoqiyq,تَحْقِيق,H.q.q,ح.ق.ق,ta1o2iy3,تَ1ْ2ِي3,114660,475774,1376849
natiyjap_1,نَتِيجَة_1,natiyjapF,نَتِيجَةً,result;consequence,noun,natiyj,نَتِيج,n.t.j,ن.ت.ج,1a2iy3ap,1َ2ِي3َة,21499,473821,619360
bilojiykiy~_1,بِلْجِيكِيّ_1,waAlbilojiykiy~u,وَالبِلْجِيكِيُّ,Belgian,noun,bilojiykiy~,بِلْجِيكِيّ,b.l.j.k,ب.ل.ج.ك,1i2o3iy4iy~,1ِ2ْ3ِي4ِيّ,1753,37241,37241
kamA_1,كَما_1,kamA,كَما,and;as;also,conj,kamA,كَما,k,ك,1amA,1َما,452786,452790,452790
{ifotitAH_1,ٱِفْتِتاح_1,AifotitAHi,اِفْتِتاحِ,opening;inauguration,noun,{ifotitAH,ٱِفْتِتاح,f.t.H,ف.ت.ح,{i1o2itA3,ٱِ1ْ2ِتا3,47111,90697,481389
>aEorab_1,أَعْرَب_1,>aEoraba,أَعْرَبَ,express;manifest;indicate,verb,>aEorab,أَعْرَب,E.r.b,ع.ر.ب,>a1o2a3,أَ1ْ2َ3,38933,149809,518378
munaZ~amap_1,مُنَظَّمَة_1,munaZ~amapi,مُنَظَّمَةِ,organization,noun,munaZ~am,مُنَظَّم,n.Z.m,ن.ظ.م,mu1a2~a3ap,مُ1َ2َّ3َة,100805,451982,1190127
<isolAmiy~_1,إِسْلامِيّ_1,Al<isolAmiy~i,الإِسْلامِيِّ,Islamic;Islamist;Muslim,adj,<isolAmiy~,إِسْلامِيّ,s.l.m,س.ل.م,<i1o2A3iy~,إِ1ْ2ا3ِيّ,126027,590235,2085587
munaZ~amap_1,مُنَظَّمَة_1,AlmunaZ~amapu,المُنَظَّمَةُ,organization,noun,munaZ~am,مُنَظَّم,n.Z.m,ن.ظ.م,mu1a2~a3ap,مُ1َ2َّ3َة,24219,451982,1190127
salAmap_1,سَلامَة_1,salAmap,سَلامَة,security;safety;integrity,noun,salAm,سَلام,s.l.m,س.ل.م,1a2A3ap,1َ2ا3َة,3916,52100,2085587
musolim_1,مُسْلِم_1,lilmusolimiyna,لِلمُسْلِمِينَ,Muslim,noun,musolim,مُسْلِم,s.l.m,س.ل.م,mu1o2i3,مُ1ْ2ِ3,5790,200328,2085587
SaHiyfap_1,صَحِيفَة_1,SaHiyfapu,صَحِيفَةُ,newspaper,noun,SaHiyf,صَحِيف,S.H.f,ص.ح.ف,1a2iy3ap,1َ2ِي3َة,140229,443083,766835
sal~am_1,سَلَّم_1,sal~amat,سَلَّمَت,hand_over;surrender;greet,verb,sal~am,سَلَّم,s.l.m,س.ل.م,1a2~a3,1َ2َّ3,8736,74040,2085587
maTolaE_1,مَطْلَع_1,maTolaEa,مَطْلَعَ,beginning;rise,noun,maTolaE,مَطْلَع,T.l.E,ط.ل.ع,ma1o2a3,مَ1ْ2َ3,32570,88124,291957
HaZor_1,حَظْر_1,AlHaZora,الحَظْرَ,prohibition;ban,noun,HaZor,حَظْر,H.Z.r,ح.ظ.ر,1a2o3,1َ2ْ3,6756,96076,119933
>aqar~_1,أَقَرّ_1,>aqar~atohu,أَقَرَّتْهُ,ratify;accept,verb,>aqar~,أَقَرّ,q.r.r,ق.ر.ر,>a1a2~,أَ1َ2ّ,1653,89570,1744500
Did~_1,ضِدّ_1,Did~a,ضِدَّ,contrary;against;opposed;anti-;counter-,noun,Did~,ضِدّ,D.d.d,ض.د.د,1i2~,1ِ2ّ,421953,465565,501364
sAbiq_1,سابِق_1,Als~Abiqapi,السّابِقَةِ,former;previous;preceding,adj,sAbiq,سابِق,s.b.q,س.ب.ق,1A2i3,1ا2ِ3,94531,624514,899892
SaHiyfap_1,صَحِيفَة_1,AlS~aHiyfapu,الصَّحِيفَةُ,newspaper,noun,SaHiyf,صَحِيف,S.H.f,ص.ح.ف,1a2iy3ap,1َ2ِي3َة,66410,443083,766835
naqol_1,نَقْل_1,naqolAF,نَقْلاً,transportation;transfer,noun,naqol,نَقْل,n.q.l,ن.ق.ل,1a2o3,1َ2ْ3,21875,232020,510056
