word	word_ar	lemma	lemma_ar	pos	stem	stem_ar	gloss	root	root_ar	pattern	pattern_ar	freq_word	freq_lem	freq_root
AlEalama	العَلَمَ	Ealam_1	عَلَم_1	noun	Ealam	عَلَم	flag;banner;badge	E.l.m	ع.ل.م	faEal	fَEَl	2420	29682	1995851
kaniysi	كَنِيسِ	kaniys_1	كَنِيس_1	noun	kaniys	كَنِيس	synagogue;temple	k.n.s	ك.ن.س	faEiyl	fَEِيl	332	3896	118949
AlD~if~apu	الضِّفَّةُ	Dif~ap_2	ضِفَّة_2	noun_prop	Dif~	ضِفّ	(West)_Bank	D.f.f	ض.ف.ف	fiE~ap	fِEَّة	22591	180646	191983
Algarobiy~apu	الغَرْبِيَّةُ	garobiy~_1	غَرْبِيّ_1	adj	garobiy~	غَرْبِيّ	west;western;westerner	g.r.b	غ.ر.ب	faEoliy~	fَEْlِيّ	28720	359518	907188
salAmN	سَلامٌ	salAm_1	سَلام_1	noun	salAm	سَلام	peace	s.l.m	س.ل.م	faEAl	fَEاl	13414	664937	2085587
Al$~uroTapi	الشُّرْطَةِ	$uroTap_1	شُرْطَة_1	noun	$uroT	شُرْط	police	$.r.T	ش.ر.ط	fuEolap	fُEْlَة	143915	342615	486327
biHirAsapi	بِحِراسَةِ	HirAsap_1	حِراسَة_1	noun	HirAs	حِراس	guard;escort;protection	H.r.s	ح.ر.س	fiEAlap	fِEاlَة	774	16022	141158
Alkaniysi	الكَنِيسِ	kaniys_1	كَنِيس_1	noun	kaniys	كَنِيس	synagogue;temple	k.n.s	ك.ن.س	faEiyl	fَEِيl	518	3896	118949
Almadiynapi	المَدِينَةِ	madiynap_1	مَدِينَة_1	noun	madiyn	مَدِين	city	m.d.n	م.د.ن	faEiylap	fَEِيlَة	161698	635899	683384
tasoliymuhA	تَسْلِيمُها	tasoliym_1	تَسْلِيم_1	noun	tasoliym	تَسْلِيم	handing_over;delivery;surrender	s.l.m	س.ل.م	tafoEiyl	تَfْEِيl	1751	85314	2085587
AlEalami	العَلَمِ	Ealam_1	عَلَم_1	noun	Ealam	عَلَم	flag;banner;badge	E.l.m	ع.ل.م	faEal	fَEَl	4450	29682	1995851
DAbiTN	ضابِطٌ	DAbiT_1	ضابِط_1	noun	DAbiT	ضابِط	controller	D.b.T	ض.ب.ط	fAEil	fاEِl	12506	54483	112538
muqad~asN	مُقَدَّسٌ	muqad~as_1	مُقَدَّس_1	adj	muqad~as	مُقَدَّس	holy;sacred	q.d.s	ق.د.س	mufaE~al	مُfَEَّl	1595	50280	399713
Aiqotaraba	اِقْتَرَبَ	{iqotarab_1	ٱِقْتَرَب_1	verb	{iqotarab	ٱِقْتَرَب	get_close_to;approach	q.r.b	ق.ر.ب	{ifotaEal	ٱِfْتَEَl	4263	25783	400771
min	مِن	min_1	مِن_1	prep	min	مِن	from	m.n	م.ن	fiE	fِE	12875546	14612853	14305756
HirAsatahu	حِراسَتَهُ	HirAsap_1	حِراسَة_1	noun	HirAs	حِراس	guard;escort;protection	H.r.s	ح.ر.س	fiEAlap	fِEاlَة	179	16022	141158
manoEahum	مَنْعَهُم	manoE_1	مَنْع_1	noun	manoE	مَنْع	prevention;interdiction	m.n.E	م.ن.ع	faEol	fَEْl	1577	134709	303173
Ald~uxuwli	الدُّخُولِ	duxuwl_1	دُخُول_1	noun	duxuwl	دُخُول	entrance;penetration	d.x.l	د.خ.ل	fuEuwl	fُEُوl	28529	157705	743525
bitamoziyqi	بِتَمْزِيقِ	tamoziyq_1	تَمْزِيق_1	noun	tamoziyq	تَمْزِيق	tearing;shredding	m.z.q	م.ز.ق	tafoEiyl	تَfْEِيl	244	3252	15549
numaz~iqu	نُمَزِّقُ	maz~aq_1	مَزَّق_1	verb	maz~iq	مَزِّق	tear_apart;rip_apart;shred	m.z.q	م.ز.ق	faE~al	fَEَّl	19	6404	15549
AiHotirAmAF	اِحْتِراماً	{iHotirAm_1	ٱِحْتِرام_1	noun	{iHotirAm	ٱِحْتِرام	respect;honoring	H.r.m	ح.ر.م	{ifotiEAl	ٱِfْتِEاl	3586	93319	192311
Had~Ad	حَدّاد	Had~Ad_1	حَدّاد_1	noun_prop	Had~Ad	حَدّاد	Haddad	H.d.d	ح.د.د	faE~Al	fَEّاl	22722	23238	616515
taTobiyqi	تَطْبِيقِ	taTobiyq_1	تَطْبِيق_1	noun	taTobiyq	تَطْبِيق	application	T.b.q	ط.ب.ق	tafoEiyl	تَfْEِيl	60581	158760	294576
AlqAhirapi	القاهِرَةِ	qAhirap_1	قاهِرَة_1	noun_prop	qAhir	قاهِر	Cairo	q.h.r	ق.ه.ر	fAEilap	fاEِlَة	161400	243596	260372
biAlt~anosiyqi	بِالتَّنْسِيقِ	tanosiyq_1	تَنْسِيق_1	noun	tanosiyq	تَنْسِيق	coordination;steering;systematic_arrangement	n.s.q	ن.س.ق	tafoEiyl	تَfْEِيl	10924	91335	135060
yuEAriDuwna	يُعارِضُونَ	EAraD_1	عارَض_1	verb	EAriD	عارِض	oppose;resist	E.r.D	ع.ر.ض	fAEal	fاEَl	4698	55564	910117
bi$id~apK	بِشِدَّةٍ	$id~ap_1	شِدَّة_1	noun	$id~	شِدّ	intensity;forcefulness	$.d.d	ش.د.د	fiE~ap	fِEَّة	38545	49239	374397
taHota	تَحْتَ	taHota_1	تَحْتَ_1	noun	taHot	تَحْت	under	t.H.t	ت.ح.ت	faEol	fَEْl	224054	240412	279247
suloTapi	سُلْطَةِ	suloTap_1	سُلْطَة_1	noun	suloT	سُلْط	power;authority;rule	s.l.T	س.ل.ط	fuEolap	fُEْlَة	17493	649957	435856
mirArAF	مِراراً	mirAr_1	مِرار_1	noun	mirAr	مِرار	times;occasions	m.r.r	م.ر.ر	fiEAl	fِEاl	23240	23581	696367
wagaDibihim	وَغَضِبِهِم	gaDib_1	غَضِب_1	adj	gaDib	غَضِب	irate;furious	g.D.b	غ.ض.ب	faEil	fَEِl	32	451	58051
wanaZ~amuwA	وَنَظَّمُوا	naZ~am_1	نَظَّم_1	verb	naZ~am	نَظَّم	arrange;organize;regulate	n.Z.m	ن.ظ.م	faE~al	fَEَّl	352	111390	1190127
taZAhurAtN	تَظاهُراتٌ	taZAhurap_1	تَظاهُرَة_1	noun	taZAhur	تَظاهُر	rally;demonstration	Z.h.r	ظ.ه.ر	tafAEulap	تَfاEُlَة	3979	75618	622412
Eid~apN	عِدَّةٌ	Eid~ap_1	عِدَّة_1	adj	Eid~	عِدّ	several;numerous;many	E.d.d	ع.د.د	fiE~ap	fِEَّة	21438	219542	1493498
Al$~uroTapa	الشُّرْطَةَ	$uroTap_1	شُرْطَة_1	noun	$uroT	شُرْط	police	$.r.T	ش.ر.ط	fuEolap	fُEْlَة	23904	342615	486327
mar~apK	مَرَّةٍ	mar~ap_1	مَرَّة_1	noun	mar~	مَرّ	occasion;time;moment	m.r.r	م.ر.ر	faE~ap	fَEَّة	50945	406396	696367
bitaforiyqihim	بِتَفْرِيقِهِم	taforiyq_1	تَفْرِيق_1	noun	taforiyq	تَفْرِيق	separation;division	f.r.q	ف.ر.ق	tafoEiyl	تَfْEِيl	84	10124	245486
Almu$otarikiyna	المُشْتَرِكِينَ	mu$otarik_1	مُشْتَرِك_1	noun	mu$otarik	مُشْتَرِك	participant;subscriber	$.r.k	ش.ر.ك	mufotaEil	مُfْتَEِl	18056	33024	1084812
SanoEA'u	صَنْعاءُ	SanoEA'_1	صَنْعاء_1	noun_prop	SanoEA'	صَنْعاء	Sana;Sanaa	S.n.E	ص.ن.ع	faEolA'	fَEْlاء	2218	39476	432794
