word,wordfreq
halina,1
ang,10367
gawaing,22
kabaligtaran,6
nito,372
bilang,1071
dagdag,9
kahit,64
na,8695
sa,13138
loob,137
ng,12826
pinakamatalik,2
pakikipag,10
ugnayan,20
pakikipagkapwa,1
tao,317
o,1583
relasyong,4
may,961
pagkakagaanan,1
mga,6678
kalooban,13
palaging,18
pangangailangan,11
pagsasaisip,1
sasabihin,3
kung,626
paano,41
ito,1455
magiging,33
maganda,6
mainam,9
pandinig,2
makakaapekto,3
makikinig,1
tagapakinig,3
minsan,43
bugso,2
udyok,2
tulak,2
kagustuhan,5
maglantad,1
magsiwalat,1
bagay,98
paksa,22
ay,7072
isang,4103
paglalabas,4
nakakubling,1
pagnanais,5
makasakit,1
kapwa,37
hindi,893
kamalian,6
pag,345
isipan,5
muna,17
bago,113
gawin,20
hinggil,32
sariling,41
buhay,157
kaya,143
si,1759
pang,469
yong,4
zhi,1
artista,392
taiwan,28
our,6
lady,6
of,216
perpetual,1
succor,1
college,26
kolehiyong,24
paaralan,80
matatagpuan,112
lungsod,418
marikina,3
kalakhang,21
maynila,56
pilipinas,453
itinatag,57
noong,1174
1978,11
at,4559
kasalukuyang,83
pinamumunuan,31
ni,996
carmen,4
c,55
salvador,3
kursong,8
inaalok,8
kim,28
won,11
timog,294
korea,263
comune,215
lalawigan,391
syracuse,1
bansang,660
italya,257
julia,9
montes,1
tunay,51
pangalan,123
mara,2
hautea,1
schnittka,1
aritmetika,2
rasyo,3
ratio,2
paghahambing,6
2,156
tumutukoy,53
halaga,33
unang,310
ikalawang,85
paghaluin,1
kemikal,15
a,178
b,54
5,145
panukat,3
gagamitin,6
kutsarita,3
tablespoon,1
limang,46
ihahalo,1
dalawang,197
selenge,1
probinsiya,20
mongolia,4
dwkx,1
kilala,180
103,2
k,9
lite,1
fm,4
istasyon,6
radyo,11
aari,16
advanced,3
media,16
broadcasting,15
system,22
inc,8
studio,8
jollibee,1
plaza,5
ortigas,4
center,26
pasig,5
city,28
kanyang,765
transmiter,1
mandaluyong,3
618,1
taon,324
kalendaryo,54
2395,1
aho,1
planetang,152
pangunahin,161
kaiyō,1
bayan,276
tokushima,3
hapon,356
j,14
eigenmann,6
tatay,5
niya,365
aktor,22
michael,10
de,106
mesa,6
kapatid,65
nina,53
geoff,3
ryan,10
pawang,7
din,305
cascia,4
communi,17
perugia,3
umbria,5
nago,1
torbole,1
trento,13
rehiyong,33
trentino,12
alto,12
adige,12
südtirol,12
papa,86
hormisdas,1
nagsilbing,12
taganamamahala,6
simbahang,49
katoliko,62
pontelongo,1
padua,7
220,4
bc,24
kalendaryong,92
gregorian,81
cuneo,10
rusya,62
jonas,4
edward,25
salk,4
28,30
oktubre,51
1914,5
