word,wordfreq
lorem,4
ipsum,4
dolor,5
sit,5
amet,5
consectetur,2
adipiscing,1
elit,4
sed,11
quam,2
sapien,1
scelerisque,1
lobortis,4
blandit,3
eu,5
ultrices,6
praesent,2
eget,3
diam,3
ut,7
vulputate,2
eleifend,2
lacus,4
pharetra,1
sem,6
volutpat,3
ac,11
nulla,8
sollicitudin,2
in,9
neque,4
posuere,4
id,3
interdum,5
purus,5
euismod,4
mauris,2
molestie,1
erat,4
et,15
laoreet,5
tempor,4
nunc,8
phasellus,6
mi,4
vel,2
convallis,3
rhoncus,3
turpis,5
non,3
ullamcorper,3
sagittis,1
justo,1
nec,7
ornare,4
nisl,2
eros,3
donec,4
nisi,5
vitae,11
pretium,3
pellentesque,11
aliquam,4
egestas,3
tincidunt,6
etiam,1
feugiat,1
urna,4
tempus,1
tellus,3
finibus,2
quisque,1
dapibus,2
proin,2
commodo,1
elementum,5
enim,2
auctor,2
a,3
duis,1
magna,4
metus,4
aliquet,1
fermentum,3
cursus,4
suspendisse,1
efficitur,2
hendrerit,2
arcu,3
consequat,3
accumsan,2
sodales,2
orci,4
congue,3
gravida,3
libero,2
fringilla,1
rutrum,1
tortor,2
fusce,5
maximus,3
massa,2
vivamus,1
dictum,2
pulvinar,2
lectus,4
ligula,3
mattis,1
mollis,1
maecenas,1
facilisis,3
est,1
venenatis,2
quis,5
nibh,4
vestibulum,2
malesuada,3
ante,2
faucibus,2
at,1
velit,2
condimentum,2
dui,3
primis,1
luctus,4
cubilia,1
curae,1
nam,1
morbi,4
semper,1
habitant,2
tristique,2
senectus,2
netus,2
fames,2
bibendum,1
varius,1
ex,1
suscipit,1
odio,2
leo,3
curabitur,1
risus,2
porttitor,1
aenean,1
dignissim,1
porta,1
felis,1
