word	wordfreq
28	1
dec	1
2024	1
somewhere	1
above	1
the	26
northern	1
reaches	1
of	16
canada	1
dear	1
iona	2
let	4
s	13
test	1
this	12
name	1
shall	1
we	6
i	56
am	2
writing	1
on	4
a	19
dying	1
laptop	1
battery	3
at	7
7	1
no	2
point	1
over	2
last	3
week	3
have	4
been	3
able	1
to	46
charge	1
it	13
were	1
in	19
paris	2
and	19
fear	1
my	12
charger	1
may	2
be	14
faulty	1
out	2
airplane	2
window	1
can	2
cracks	1
drifts	1
ice	3
see	2
breaking	1
apart	1
mother	1
sitting	2
next	2
me	6
looking	1
through	1
pictures	1
her	2
phone	1
left	3
father	1
decided	1
need	5
start	1
going	4
church	1
sincerely	1
again	1
don	5
t	7
think	11
like	7
how	5
was	5
back	4
2022	1
23	1
when	3
frequented	1
aquinas	1
house	1
with	6
grace	1
time	3
conviction	1
regarding	1
faultiness	1
doctrine	1
different	1
view	2
god	4
gabriel	2
quealy	1
said	1
he	5
d	2
join	1
if	3
him	2
would	3
beautiful	2
term	3
dartmouth	1
college	2
junior	1
fall	3
academically	1
professionally	1
slacking	1
off	1
lots	1
but	8
worth	1
friendships	1
thoughts	1
spent	1
so	4
much	4
thinking	2
winter	3
break	3
mostly	1
about	6
desire	2
right	1
now	3
is	10
undeniable	1
also	5
that	7
are	6
second	1
half	1
nervous	1
additionally	1
what	7
contribute	1
world	1
here	1
few	1
things	3
reflect	1
getting	2
job	3
kind	2
politically	1
involved	1
want	9
more	1
active	1
spare	2
rib	2
actually	2
do	9
something	2
for	10
causes	2
care	1
building	1
community	2
sustainability	1
especially	1
queer	1
most	1
all	3
just	3
people	1
loving	1
understanding	1
good	6
each	1
other	1
problem	1
suppose	2
there	6
one	3
learn	1
react	1
full	1
stack	1
get	6
least	1
research	1
question	1
potential	1
thing	1
professor	1
wray	2
apply	1
50	2
jobs	1
insanely	1
busy	1
could	1
participate	1
too	1
perhaps	2
somewhat	1
regularly	1
go	3
their	1
meetings	1
remember	1
intended	1
write	1
started	1
up	2
document	1
way	6
make	2
pass	1
4	2
hours	3
58	1
minutes	1
flight	1
cannot	3
asleep	1
new	2
system	1
lists	1
because	1
current	1
spread	1
across	1
many	2
applications	1
notion	3
notes	2
app	2
journal	2
find	2
quarterly	1
schemes	1
page	1
quite	3
helpful	1
keeping	1
track	1
however	1
limitations	1
display	1
flexibility	1
useful	1
regard	1
ll	1
an	1
additional	1
field	1
database	1
denotes	1
negotiability	1
non	2
negotiables	1
must	1
done	2
fun	1
starters	1
25w	1
negotiable	2
webdev	1
watch	1
everything	1
everywhere	1
once	1
habits	1
build	2
gym	1
real	1
take	2
walks	1
often	1
lift	1
weights	1
muscle	1
maybe	4
fix	2
sleep	3
schedule	1
such	1
not	6
only	1
homework	1
gets	1
does	1
search	1
okay	2
6	1
sore	1
from	2
terrible	1
seat	1
ahhh	1
year	2
resolutions	1
hmm	2
strong	1
arms	1
support	1
network	1
which	1
should	1
really	1
everyone	1
consistently	1
ceremonial	1
place	1
career	1
wise	1
drawing	1
know	2
fair	1
bit	2
russian	1
part	1
try	2
relationship	2
anxiety	1
adjacent	1
fixed	1
shame	1
around	1
yeah	1
feel	1
little	2
less	1
than	1
ideal	1
upon	1
gabe	3
responding	1
you	1
call	1
seven	1
mentally	1
fine	1
wants	1
even	1
petty	1
factual	1
did	1
believe	1
any	1
still	4
loud	1
brain	1
thought	1
doesn	1
romantically	1
similarly	1
attracted	1
his	1
ex	1
whom	1
long	1
has	1
stabler	1
cam	1
entirely	1
certain	1
though	1
until	2
destination	1
5	2
hurts	1
fields	1
outside	1
wait	2
home	2
open	3
mailbox	2
stuff	1
ordered	1
etsy	1
ear	1
cuffs	1
bee	1
pin	1
satchel	1
christmas	1
present	1
where	1
compass	1
got	1
transit	1
gonna	1
will	1
nap	1
intend	1
talk	1
then	1
being	1
awake	1
since	1
8	1
pm	2
night	2
21	1
great	1
best	1
regards	1
yawen	1
